fraction,split_name,assay_id,assay_type,auroc,auprc,test_set_length,num_actives,num_inactives,n_train_compounds,n_valid_compounds_unused,n_test_compounds,n_train_labels,n_train_pos,n_train_neg,feature,model,constant_fallback
10%,K1000,228_700,biochem,0.5580592105263158,0.17980157437074418,172,20,152,1001,11943,3226,80,9,71,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,229_701,cell,0.5378662244333886,0.12423343066305385,715,67,648,1001,11943,3226,302,31,271,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,232_704,cell,0.7425103305785125,0.3261505470992597,395,32,363,1001,11943,3226,166,12,154,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,244_718,biochem,0.44875600471313326,0.006653940668032187,2613,17,2596,1001,11943,3226,758,3,755,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,247_721,biochem,0.48112106508747854,0.0194347431463591,2538,37,2501,1001,11943,3226,723,5,718,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,250_726,cell,0.8005235602094241,0.07785413043656404,387,5,382,1001,11943,3226,85,2,83,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,259_737,biochem,0.34156545209176786,0.0023431803966448305,1238,3,1235,1001,11943,3226,395,4,391,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,268_746,biochem,0.5590770346287439,0.039256384555538065,2385,74,2311,1001,11943,3226,669,23,646,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,269_747,cell,0.5242383302358311,0.06323145354520063,2981,157,2824,1001,11943,3226,896,39,857,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,271_749,cell,0.4436018309762929,0.14607604455656176,338,51,287,1001,11943,3226,127,24,103,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,281_760,cell,0.36976549413735343,0.013618833482776968,404,6,398,1001,11943,3226,162,1,161,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,37_74,cell,,,11,2,9,1001,11943,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,42_104,cell,,,10,1,9,1001,11943,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,7_10,bacterial,,,11,1,10,1001,11943,3226,2,0,2,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,70_211,cell,,,17,1,16,1001,11943,3226,9,0,9,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,76_230,biochem,,,19,1,18,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,78_237,cell,,,7,1,6,1001,11943,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,82_243,cell,,,8,3,5,1001,11943,3226,2,0,2,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,83_244,biochem,,,18,1,17,1001,11943,3226,11,0,11,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,85_247,cell,0.6964285714285714,0.7564935064935066,15,7,8,1001,11943,3226,4,1,3,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,86_250,cell,,,10,1,9,1001,11943,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,88_252,cell,,,32,1,31,1001,11943,3226,12,0,12,Cells_Number_Object_Number,per_assay_lr,True
10%,K1000,88_254,cell,0.8,0.5112087912087911,21,5,16,1001,11943,3226,6,1,5,Cells_Number_Object_Number,per_assay_lr,False
10%,K1000,92_258,cell,0.46666666666666673,0.5099567099567099,11,5,6,1001,11943,3226,2,1,1,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,10_20,bacterial,0.6956521739130435,0.5625,25,2,23,10000,2944,3226,39,1,38,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,104_291,cell,0.9375,0.75,18,2,16,10000,2944,3226,35,8,27,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,104_297,cell,1.0,1.0,11,1,10,10000,2944,3226,23,2,21,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,105_341,cell,0.8444444444444446,0.625,18,3,15,10000,2944,3226,35,11,24,Cells_Number_Object_Number,per_assay_lr,False
