Plate,Well,Compound Name,Compound SMILES
24294,L16,DMSO,CS(=O)C
24294,L23,DMSO,CS(=O)C
24294,L24,DMSO,CS(=O)C
24294,M9,DMSO,CS(=O)C
24294,M10,DMSO,CS(=O)C
24294,M13,DMSO,CS(=O)C
24294,M14,DMSO,CS(=O)C
24294,N9,DMSO,CS(=O)C
24294,N10,DMSO,CS(=O)C
24294,N13,DMSO,CS(=O)C
24294,N14,DMSO,CS(=O)C
24294,O11,DMSO,CS(=O)C
24294,O12,DMSO,CS(=O)C
24294,P11,DMSO,CS(=O)C
24294,P12,DMSO,CS(=O)C
24295,A13,DMSO,CS(=O)C
24295,A14,DMSO,CS(=O)C
24295,B13,DMSO,CS(=O)C
24295,B14,DMSO,CS(=O)C
24295,C11,DMSO,CS(=O)C
24295,C12,DMSO,CS(=O)C
24295,C15,DMSO,CS(=O)C
24295,C16,DMSO,CS(=O)C
24295,D11,DMSO,CS(=O)C
24295,D12,DMSO,CS(=O)C
24295,D15,DMSO,CS(=O)C
24295,D16,DMSO,CS(=O)C
24295,E1,DMSO,CS(=O)C
24295,E2,DMSO,CS(=O)C
24295,E9,DMSO,CS(=O)C
24295,E10,DMSO,CS(=O)C
24295,E17,DMSO,CS(=O)C
24295,E18,DMSO,CS(=O)C
24295,F1,DMSO,CS(=O)C
24295,F2,DMSO,CS(=O)C
24295,F9,DMSO,CS(=O)C
24295,F10,DMSO,CS(=O)C
24295,F17,DMSO,CS(=O)C
24295,F18,DMSO,CS(=O)C
24295,G3,DMSO,CS(=O)C
24295,G4,DMSO,CS(=O)C
24295,G19,DMSO,CS(=O)C
24295,G20,DMSO,CS(=O)C
24295,H3,DMSO,CS(=O)C
24295,H4,DMSO,CS(=O)C
24295,H18,DMSO,CS(=O)C
24295,H19,DMSO,CS(=O)C
24295,H20,DMSO,CS(=O)C
24295,I5,DMSO,CS(=O)C
24295,I6,DMSO,CS(=O)C
24295,I21,DMSO,CS(=O)C
24295,I22,DMSO,CS(=O)C
24295,J5,DMSO,CS(=O)C
24295,J6,DMSO,CS(=O)C
24295,J21,DMSO,CS(=O)C
24295,J22,DMSO,CS(=O)C
24295,K7,DMSO,CS(=O)C
24295,K8,DMSO,CS(=O)C
24295,K15,DMSO,CS(=O)C
24295,K16,DMSO,CS(=O)C
24295,K23,DMSO,CS(=O)C
24295,K24,DMSO,CS(=O)C
24295,L7,DMSO,CS(=O)C
24295,L8,DMSO,CS(=O)C
24295,L15,DMSO,CS(=O)C
24295,L16,DMSO,CS(=O)C
24295,L23,DMSO,CS(=O)C
24295,L24,DMSO,CS(=O)C
24295,M9,DMSO,CS(=O)C
24295,M10,DMSO,CS(=O)C
24295,M13,DMSO,CS(=O)C
24295,M14,DMSO,CS(=O)C
24295,N9,DMSO,CS(=O)C
24295,N10,DMSO,CS(=O)C
24295,N13,DMSO,CS(=O)C
24295,N14,DMSO,CS(=O)C
24295,O11,DMSO,CS(=O)C
24295,O12,DMSO,CS(=O)C
24295,P11,DMSO,CS(=O)C
24295,P12,DMSO,CS(=O)C
24296,A13,DMSO,CS(=O)C
24296,A14,DMSO,CS(=O)C
24296,B13,DMSO,CS(=O)C
24296,B14,DMSO,CS(=O)C
24296,C11,DMSO,CS(=O)C
24296,C12,DMSO,CS(=O)C
24296,C15,DMSO,CS(=O)C
24296,C16,DMSO,CS(=O)C
24296,D11,DMSO,CS(=O)C
24296,D12,DMSO,CS(=O)C
24296,D15,DMSO,CS(=O)C
24296,D16,DMSO,CS(=O)C
24296,E1,DMSO,CS(=O)C
24296,E2,DMSO,CS(=O)C
24296,E9,DMSO,CS(=O)C
24296,E10,DMSO,CS(=O)C
24296,E17,DMSO,CS(=O)C
24296,E18,DMSO,CS(=O)C
24296,F1,DMSO,CS(=O)C
24296,F2,DMSO,CS(=O)C
24296,F9,DMSO,CS(=O)C
24296,F10,DMSO,CS(=O)C
24296,F17,DMSO,CS(=O)C
24296,F18,DMSO,CS(=O)C
24296,G3,DMSO,CS(=O)C
24296,G4,DMSO,CS(=O)C
24296,G19,DMSO,CS(=O)C
24296,G20,DMSO,CS(=O)C
24296,H3,DMSO,CS(=O)C
24296,H4,DMSO,CS(=O)C
24296,H19,DMSO,CS(=O)C
24296,H20,DMSO,CS(=O)C
24296,I5,DMSO,CS(=O)C
24296,I6,DMSO,CS(=O)C
24296,I21,DMSO,CS(=O)C
24296,I22,DMSO,CS(=O)C
24296,J5,DMSO,CS(=O)C
24296,J6,DMSO,CS(=O)C
24296,J21,DMSO,CS(=O)C
24296,J22,DMSO,CS(=O)C
24296,K7,DMSO,CS(=O)C
24296,K8,DMSO,CS(=O)C
24296,K15,DMSO,CS(=O)C
24296,K16,DMSO,CS(=O)C
24296,K23,DMSO,CS(=O)C
24296,K24,DMSO,CS(=O)C
24296,L7,DMSO,CS(=O)C
24296,L8,DMSO,CS(=O)C
24296,L15,DMSO,CS(=O)C
24296,L16,DMSO,CS(=O)C
24296,L23,DMSO,CS(=O)C
24296,L24,DMSO,CS(=O)C
24296,M9,DMSO,CS(=O)C
24296,M10,DMSO,CS(=O)C
24296,M13,DMSO,CS(=O)C
24296,M14,DMSO,CS(=O)C
24296,N9,DMSO,CS(=O)C
24296,N10,DMSO,CS(=O)C
24296,N13,DMSO,CS(=O)C
24296,N14,DMSO,CS(=O)C
24296,O11,DMSO,CS(=O)C
24296,O12,DMSO,CS(=O)C
24296,P11,DMSO,CS(=O)C
24296,P12,DMSO,CS(=O)C
24297,A13,DMSO,CS(=O)C
24297,A14,DMSO,CS(=O)C
24297,B13,DMSO,CS(=O)C
24297,B14,DMSO,CS(=O)C
24297,C11,DMSO,CS(=O)C
24297,C12,DMSO,CS(=O)C
24297,C15,DMSO,CS(=O)C
24297,C16,DMSO,CS(=O)C
24297,D11,DMSO,CS(=O)C
24297,D12,DMSO,CS(=O)C
24297,D15,DMSO,CS(=O)C
24297,D16,DMSO,CS(=O)C
24297,E1,DMSO,CS(=O)C
24297,E2,DMSO,CS(=O)C
24297,E9,DMSO,CS(=O)C
24297,E10,DMSO,CS(=O)C
24297,E17,DMSO,CS(=O)C
24297,E18,DMSO,CS(=O)C
24297,F1,DMSO,CS(=O)C
24297,F2,DMSO,CS(=O)C
24297,F9,DMSO,CS(=O)C
24297,F10,DMSO,CS(=O)C
24297,F17,DMSO,CS(=O)C
24297,F18,DMSO,CS(=O)C
24297,G3,DMSO,CS(=O)C
24297,G4,DMSO,CS(=O)C
24297,G19,DMSO,CS(=O)C
24297,G20,DMSO,CS(=O)C
24297,H3,DMSO,CS(=O)C
24297,H4,DMSO,CS(=O)C
24297,H18,DMSO,CS(=O)C
24297,H19,DMSO,CS(=O)C
24297,H20,DMSO,CS(=O)C
24297,I5,DMSO,CS(=O)C
24297,I6,DMSO,CS(=O)C
24297,I21,DMSO,CS(=O)C
24297,I22,DMSO,CS(=O)C
24297,J5,DMSO,CS(=O)C
24297,J6,DMSO,CS(=O)C
24297,J21,DMSO,CS(=O)C
24297,J22,DMSO,CS(=O)C
24297,K7,DMSO,CS(=O)C
24297,K8,DMSO,CS(=O)C
24297,K15,DMSO,CS(=O)C
24297,K16,DMSO,CS(=O)C
24297,K23,DMSO,CS(=O)C
24297,K24,DMSO,CS(=O)C
24297,L7,DMSO,CS(=O)C
24297,L8,DMSO,CS(=O)C
24297,L15,DMSO,CS(=O)C
24297,L16,DMSO,CS(=O)C
24297,L23,DMSO,CS(=O)C
24297,L24,DMSO,CS(=O)C
24297,M9,DMSO,CS(=O)C
24297,M10,DMSO,CS(=O)C
24297,M13,DMSO,CS(=O)C
24297,M14,DMSO,CS(=O)C
24297,N9,DMSO,CS(=O)C
24297,N10,DMSO,CS(=O)C
24297,N13,DMSO,CS(=O)C
24297,N14,DMSO,CS(=O)C
24297,O11,DMSO,CS(=O)C
24297,O12,DMSO,CS(=O)C
24297,P11,DMSO,CS(=O)C
