smiles,murcko_scaffold,cluster_id
CC(C)NC(=O)N[C@H]1CC[C@@H](CC(=O)NCCCN(C)C)O[C@@H]1CO,C1CCOCC1,1027
CCCC(=O)Nc1ccc2OC[C@H](C)N(CCc3ccccc3)C[C@@H](C)[C@H](CN(C)C(=O)c2c1)OC,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
CC(C)NC(=O)N[C@H]1CC[C@H](CCN)O[C@@H]1CO,C1CCOCC1,1027
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(O)cc2)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
Cc1ccc(cc1)S(=O)(=O)N[C@@H]1CC[C@H](CC(O)=O)O[C@@H]1CO,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
CCCC(=O)Nc1ccc2OC[C@@H](C)N(CCc3ccccc3)C[C@H](C)[C@H](CN(C)C(=O)c2c1)OC,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2cccc(c2)C#N)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
CNC[C@@H]1Oc2ncc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)C#Cc1cccc(OC)c1,O=C1NCCCOc2ncc(C#Cc3ccccc3)cc21,148
CNC[C@H]1Oc2c(N)cccc2C(=O)N(C[C@H]1C)[C@H](C)CO,O=C1NCCCOc2ccccc21,219
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(C)=O)Oc2ncc(cc2C1=O)C#Cc1ccc(F)cc1,O=C1NCCCOc2ncc(C#Cc3ccccc3)cc21,148
CO[C@@H]1CN(C)C(=O)c2cc(NC(C)=O)ccc2OC[C@@H](C)N(CCc2ccccc2)C[C@@H]1C,O=C1NCCCCN(CCc2ccccc2)CCOc2ccccc21,107
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccccc2C)OCc2cn(CCCC1=O)nn2,O=C1CCCn2cc(nn2)CO[C@H](CNCc2ccccc2)CCN1,231
COC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2F)[C@@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2F)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(F)cc2)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,111
CCCN(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NS(=O)(=O)c2cccc(Cl)c2)[C@@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C1=O,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NS(=O)(=O)c2cccc(Cl)c2)[C@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
CNC[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C(=O)N(C[C@H]1C)[C@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CNC[C@@H]1OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CC(C)NC(=O)N[C@@H]1CC[C@@H](CCN)O[C@H]1CO,C1CCOCC1,1027
CCCN(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,O=C1NCCCOCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,453
CN(C)C(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2)[C@H](CO)O1,O=S(=O)(N[C@@H]1CCCOC1)c1ccccc1,330
CCC(=O)N[C@H]1CC[C@H](CC(=O)OC)O[C@@H]1CO,C1CCOCC1,1027
