assay_id,assay_type,assay_name,nearest_train_assay_id,nearest_train_assay_type,nearest_train_assay_name,nearest_biolord_cosine,feature,threshold,direction,train_balanced_accuracy,train_binary_auroc,n_train_labels,n_train_pos,n_train_neg,test_set_length,num_actives,num_inactives,constant_fallback,auroc,auprc,balanced_accuracy,precision,recall,f1
271_749,cell,MLPCN iPSC Wnt-B-catenin,169_549,cell,WntSignalling.Lumin.Lux-Duo,0.7165001,Cells_Number_Object_Number,-26.580078125,low_cell_count_active,0.7893877551020408,0.789387755102041,74,25,49,1650,237,1413,False,0.5129852096714952,0.153000625845396,0.5129852096714952,0.42105263157894735,0.03375527426160337,0.0625
281_760,cell,MLPCN CaV1.3,264_742,biochem,MLPCN Rad54,0.64930373,Cells_Number_Object_Number,-2.490234375,low_cell_count_active,0.6425480328855623,0.6425480328855623,14495,37,14458,1919,24,1895,False,0.5157431838170624,0.012935377022275731,0.5157431838170624,0.013793103448275862,0.3333333333333333,0.026490066225165566
37_74,cell,CardiovascularProfiling.FluorDye.JC1Mito,37_77,cell,CardiovascularProfiling.FluorDye.JC1Mito,0.9166012,Cells_Number_Object_Number,-13.3046875,high_cell_count_active,0.7575757575757576,0.7575757575757576,34,1,33,34,3,31,False,0.22580645161290325,0.08823529411764706,0.22580645161290322,0.0,0.0,0.0
42_104,cell,CellMetabolicProfiling.Absorb.MTTStain,42_103,cell,CellMetabolicProfiling.Absorb.MTTStain,0.7585304,Cells_Number_Object_Number,-10.727644230769231,low_cell_count_active,0.7833333333333333,0.7833333333333333,31,1,30,31,2,29,False,0.5258620689655172,0.06797235023041474,0.5258620689655172,0.07142857142857142,0.5,0.125
7_10,bacterial,AspulvinoneRegulation.Absorb.405,7_11,bacterial,AspulvinoneRegulation.Absorb.405,0.9268839,Cells_Number_Object_Number,-19.9453125,low_cell_count_active,0.788888888888889,0.788888888888889,32,5,27,32,1,31,False,0.8548387096774194,0.1,0.8548387096774194,0.1,1.0,0.18181818181818182
70_211,cell,CyclicAMPSignaling.Reporter.cAMP-EBX1,274_752,cell,MLPCN LGR2,0.666493,Cells_Number_Object_Number,-3.33984375,high_cell_count_active,0.5474575754218182,0.547457575421818,15121,107,15014,61,3,58,False,0.5660919540229885,0.056797483026991225,0.5660919540229885,0.06060606060606061,0.6666666666666666,0.1111111111111111
76_230,biochem,eCadherinSignaling.Lumin.CTG,100_277,cell,KRasSyntheticLethality.Lumin.CTG,0.64193296,Cells_Number_Object_Number,-13.4375,low_cell_count_active,0.7712418300653594,0.7712418300653594,43,9,34,48,1,47,False,0.26595744680851063,0.020833333333333332,0.26595744680851063,0.0,0.0,0.0
78_237,cell,ErythroidSurvival.Lumin.CTG,100_277,cell,KRasSyntheticLethality.Lumin.CTG,0.5196359,Cells_Number_Object_Number,-13.4375,low_cell_count_active,0.7712418300653594,0.7712418300653594,43,9,34,32,1,31,False,0.3225806451612903,0.03125,0.3225806451612903,0.0,0.0,0.0
82_243,cell,GenotypeProfiling.FluorDye.Resazurin,82_242,cell,GenotypeProfiling.FluorDye.Resazurin,0.80293125,Cells_Number_Object_Number,-19.06364182692308,low_cell_count_active,0.7779220779220779,0.7779220779220779,81,11,70,27,4,23,False,0.6195652173913043,0.19907407407407407,0.6195652173913043,0.25,0.5,0.3333333333333333
83_244,biochem,GlutamateDehydrogenase.Absorb.360,83_245,biochem,GlutamateDehydrogenase.Absorb.360,0.8596974,Cells_Number_Object_Number,-25.20703125,low_cell_count_active,0.7155172413793103,0.7155172413793104,31,2,29,70,1,69,False,0.9420289855072465,0.1111111111111111,0.9420289855072463,0.1111111111111111,1.0,0.19999999999999998
85_247,cell,GSISyntheticLethality.FluorDye.Resazurin,85_248,cell,GSISyntheticLethality.FluorDye.Resazurin,0.8023012,Cells_Number_Object_Number,-26.07421875,low_cell_count_active,0.7537878787878788,0.7537878787878787,47,3,44,44,17,27,False,0.7461873638344226,0.658288770053476,0.7461873638344226,0.9,0.5294117647058824,0.6666666666666667
86_250,cell,HairlessSignaling.Reporter.Lux-Hrl,86_249,cell,HairlessSignaling.Reporter.Lux-Hrl,0.8801013,Cells_Number_Object_Number,-14.5546875,high_cell_count_active,0.7037037037037037,0.7037037037037037,31,4,27,31,2,29,False,0.6896551724137931,0.1,0.6896551724137931,0.1,1.0,0.18181818181818182
88_252,cell,HeatShockModulation.FluorProt.HSE-GFP,153_510,cell,StemCellDifferentiation.ImmFluor.CellCt,0.6567497,Cells_Number_Object_Number,-34.5078125,low_cell_count_active,0.9102564102564102,0.9102564102564102,41,2,39,99,1,98,False,0.45918367346938777,0.010101010101010102,0.45918367346938777,0.0,0.0,0.0
88_254,cell,HeatShockModulation.FluorProt.HSE-GFP,194_639,biochem,MLPCNGSK3beta,0.5725889,Cells_Number_Object_Number,5.322265625,high_cell_count_active,0.5405769762102114,0.5405769762102115,1838,59,1779,60,8,52,False,0.47115384615384615,0.13333333333333333,0.47115384615384615,0.0,0.0,0.0
92_258,cell,HepatitisCInfectivity.Reporter.Lux-Feo,91_257,cell,HepatitisCInfectivity.Lumin.CTG,0.8991812,Cells_Number_Object_Number,-21.5546875,low_cell_count_active,0.8454106280193237,0.8454106280193238,32,9,23,32,11,21,False,0.7705627705627704,0.619949494949495,0.7705627705627706,0.7777777777777778,0.6363636363636364,0.7000000000000001
